ubigeo,departamento,provincia,distrito,tipo_area,poblacion,anio
010611,Amazonas,Rodríguez de Mendoza,Totora,Rural,229,2017
010611,Amazonas,Rodríguez de Mendoza,Totora,Total,294,2017
010612,Amazonas,Rodríguez de Mendoza,Vista Alegre,Urbano,359,2017
010612,Amazonas,Rodríguez de Mendoza,Vista Alegre,Rural,2939,2017
010612,Amazonas,Rodríguez de Mendoza,Vista Alegre,Total,3299,2017
010701,Amazonas,Utcubamba,Bagua Grande,Urbano,39006,2017
010701,Amazonas,Utcubamba,Bagua Grande,Rural,16757,2017
010701,Amazonas,Utcubamba,Bagua Grande,Total,55764,2017
010702,Amazonas,Utcubamba,Cajaruro,Urbano,8494,2017
010702,Amazonas,Utcubamba,Cajaruro,Rural,16609,2017
010702,Amazonas,Utcubamba,Cajaruro,Total,25103,2017
010703,Amazonas,Utcubamba,Cumba,Urbano,3309,2017
010703,Amazonas,Utcubamba,Cumba,Rural,5558,2017
010703,Amazonas,Utcubamba,Cumba,Total,8867,2017
010704,Amazonas,Utcubamba,El Milagro,Urbano,3097,2017
010704,Amazonas,Utcubamba,El Milagro,Rural,3288,2017
010704,Amazonas,Utcubamba,El Milagro,Total,6385,2017
010705,Amazonas,Utcubamba,Jamalca,Urbano,1404,2017
010705,Amazonas,Utcubamba,Jamalca,Rural,5914,2017
010705,Amazonas,Utcubamba,Jamalca,Total,7318,2017
010706,Amazonas,Utcubamba,Lonya Grande,Urbano,4016,2017
010706,Amazonas,Utcubamba,Lonya Grande,Rural,6920,2017
010706,Amazonas,Utcubamba,Lonya Grande,Total,10937,2017
010707,Amazonas,Utcubamba,Yamon,Urbano,592,2017
010707,Amazonas,Utcubamba,Yamon,Rural,2627,2017
010707,Amazonas,Utcubamba,Yamon,Total,3220,2017
020101,Áncash,Huaraz,Huaraz,Urbano,59338,2017
020101,Áncash,Huaraz,Huaraz,Rural,5666,2017
020101,Áncash,Huaraz,Huaraz,Total,65005,2017
020102,Áncash,Huaraz,Cochabamba,Urbano,475,2017
020102,Áncash,Huaraz,Cochabamba,Rural,1269,2017
020102,Áncash,Huaraz,Cochabamba,Total,1744,2017
020103,Áncash,Huaraz,Colcabamba,Urbano,142,2017
020103,Áncash,Huaraz,Colcabamba,Rural,181,2017
020103,Áncash,Huaraz,Colcabamba,Total,324,2017
020104,Áncash,Huaraz,Huanchay,Urbano,310,2017
020104,Áncash,Huaraz,Huanchay,Rural,1426,2017
020104,Áncash,Huaraz,Huanchay,Total,1737,2017
020105,Áncash,Huaraz,Independencia,Urbano,67943,2017
020105,Áncash,Huaraz,Independencia,Rural,12666,2017
020105,Áncash,Huaraz,Independencia,Total,80610,2017
020106,Áncash,Huaraz,Jangas,Urbano,2628,2017
020106,Áncash,Huaraz,Jangas,Rural,2342,2017
020106,Áncash,Huaraz,Jangas,Total,4971,2017
020107,Áncash,Huaraz,La Libertad,Urbano,299,2017
020107,Áncash,Huaraz,La Libertad,Rural,831,2017
020107,Áncash,Huaraz,La Libertad,Total,1130,2017
020108,Áncash,Huaraz,Olleros,Urbano,1271,2017
020108,Áncash,Huaraz,Olleros,Rural,1224,2017
020108,Áncash,Huaraz,Olleros,Total,2496,2017
020109,Áncash,Huaraz,Pampas Grande,Urbano,356,2017
020109,Áncash,Huaraz,Pampas Grande,Rural,687,2017
020109,Áncash,Huaraz,Pampas Grande,Total,1044,2017
020110,Áncash,Huaraz,Pariacoto,Urbano,1354,2017
020110,Áncash,Huaraz,Pariacoto,Rural,3635,2017
020110,Áncash,Huaraz,Pariacoto,Total,4990,2017
020111,Áncash,Huaraz,Pira,Urbano,1200,2017
020111,Áncash,Huaraz,Pira,Rural,2321,2017
020111,Áncash,Huaraz,Pira,Total,3522,2017
020112,Áncash,Huaraz,Tarica,Urbano,1982,2017
020112,Áncash,Huaraz,Tarica,Rural,4976,2017
020112,Áncash,Huaraz,Tarica,Total,6958,2017
020201,Áncash,Aija,Aija,Urbano,1068,2017
020201,Áncash,Aija,Aija,Rural,1061,2017
020201,Áncash,Aija,Aija,Total,2130,2017
020202,Áncash,Aija,Coris,Urbano,417,2017
020202,Áncash,Aija,Coris,Rural,1301,2017
020202,Áncash,Aija,Coris,Total,1719,2017
020203,Áncash,Aija,Huacllan,Urbano,227,2017
020203,Áncash,Aija,Huacllan,Rural,160,2017
020203,Áncash,Aija,Huacllan,Total,388,2017
020204,Áncash,Aija,La Merced,Urbano,280,2017
020204,Áncash,Aija,La Merced,Rural,1369,2017
020204,Áncash,Aija,La Merced,Total,1649,2017
020205,Áncash,Aija,Succha,Urbano,312,2017
020205,Áncash,Aija,Succha,Rural,439,2017
020205,Áncash,Aija,Succha,Total,752,2017
020301,Áncash,Antonio Raymondi,Llamellin,Urbano,1887,2017
020301,Áncash,Antonio Raymondi,Llamellin,Rural,1569,2017
020301,Áncash,Antonio Raymondi,Llamellin,Total,3457,2017
020302,Áncash,Antonio Raymondi,Aczo,Urbano,827,2017
020302,Áncash,Antonio Raymondi,Aczo,Rural,1186,2017
020302,Áncash,Antonio Raymondi,Aczo,Total,2013,2017
020303,Áncash,Antonio Raymondi,Chaccho,Urbano,461,2017
020303,Áncash,Antonio Raymondi,Chaccho,Rural,971,2017
020303,Áncash,Antonio Raymondi,Chaccho,Total,1433,2017
020304,Áncash,Antonio Raymondi,Chingas,Urbano,900,2017
020304,Áncash,Antonio Raymondi,Chingas,Rural,1048,2017
020304,Áncash,Antonio Raymondi,Chingas,Total,1949,2017
020305,Áncash,Antonio Raymondi,Mirgas,Urbano,1305,2017
020305,Áncash,Antonio Raymondi,Mirgas,Rural,2984,2017
020305,Áncash,Antonio Raymondi,Mirgas,Total,4290,2017
